SatNAME,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
CALSPHERE 1             ,00900U,64063C,20274.95388704,.00000217,00000-0,22188-3,0,9991,00900,90.1603,30.0967,0.0029383,100.7142,7.3777,13.73420809
CALSPHERE 2             ,00902U,64063E,20274.86057611,.00000016,00000-0,10884-4,0,9991,00902,90.1717,32.7863,0.0019162,155.3924,328.3810,13.52686900
LCS 1                   ,01361U,65034C,20274.86609053,.00000017,00000-0,10859-2,0,9994,01361,32.1407,88.2539,0.0006418,170.5377,189.5242,9.89298003 
TEMPSAT 1               ,01512U,65065E,20274.92263574,.00000014,00000-0,10423-4,0,9993,01512,89.8813,224.8471,0.0069469,345.8181,75.3037,13.33429621
CALSPHERE 4A            ,01520U,65065H,20274.97252175,.00000057,00000-0,94011-4,0,9994,01520,90.0256,129.4699,0.0068651,223.6345,244.2608,13.35822532
OPS 5712 (P/L 160)      ,02826U,67053A,20274.95763887,.00000593,00000-0,17170-3,0,9993,02826,69.9280,312.0374,0.0004310,190.2306,169.8740,14.49186721
LES-5                   ,02866U,67066E,20274.79629854,-.00000104,00000-0,00000-0,0,9998,02866,2.6325,270.9375,0.0055601,358.8012,63.6305,1.094256261
SURCAL 159              ,02872U,67053F,20274.89619696,.00000007,00000-0,42318-4,0,9998,02872,69.9745,167.5893,0.0009093,303.2083,56.8152,13.98827627
OPS 5712 (P/L 153)      ,02874U,67053H,20274.43230479,-.00000035,00000-0,13207-4,0,9995,02874,69.9718,263.8262,0.0006972,359.7975,0.3126,13.96354479
SURCAL 150B             ,02909U,67053J,20274.93056942,.00000828,00000-0,17899-3,0,9999,02909,69.9487,330.7554,0.0005914,239.6928,120.3627,14.61889142
RIGIDSPHERE 2 (LCS 4)   ,05398U,71067E,20274.89977555,.00000171,00000-0,54107-4,0,9996,05398,87.6324,195.1869,0.0061297,286.1989,73.2469,14.33914634
OSCAR 7 (AO-7)          ,07530U,74089B,20274.88913940,-.00000043,00000-0,15442-4,0,9998,07530,101.8134,244.0874,0.0012166,159.4708,227.1499,12.53645378
STARLETTE               ,07646U,75010A,20274.84456310,-.00000157,00000-0,-95308-5,0,9997,07646,49.8246,55.5012,0.0205661,14.2736,346.3852,13.82307971
LAGEOS 1                ,08820U,76039A,20274.65673288,-.00000014,00000-0,00000+0,0,9998,08820,109.8136,184.9699,0.0044616,27.9004,117.6878,6.386648147
TIROS N                 ,11060U,78096A,20274.87811895,.00000017,00000-0,29283-4,0,9996,11060,98.7285,331.1102,0.0011488,135.9405,224.2688,14.18278883
NOAA 6                  ,11416U,79057A,20274.97719511,.00000034,00000-0,28367-4,0,9993,11416,98.6618,273.9087,0.0009417,304.8456,55.1842,14.33594220
UOSAT 2 (UO-11)         ,14781U,84021B,20274.93808417,.00000145,00000-0,23849-4,0,9991,14781,97.5911,281.6671,0.0007693,205.5603,154.5232,14.83195323
NOAA 9                  ,15427U,84123A,20274.87294431,.00000003,00000-0,24583-4,0,9999,15427,98.9530,229.6450,0.0015468,134.8183,282.7273,14.16107311
AJISAI (EGS)            ,16908U,86061A,20274.96947727,-.00000097,00000-0,-63154-6,0,9994,16908,50.0089,79.2382,0.0011150,272.8151,269.6202,12.44492574
TDRS 3                  ,19548U,88091B,20274.32817543,-.00000307,00000-0,00000+0,0,9991,19548,14.1207,356.4865,0.0034597,318.4115,123.9238,1.002776721
