Time (UTCG)	x (km)	y (km)	z (km)	Magnitude (km)
01 Oct 2020 00:00:00	-6304.125808	2927.141871	72.61759	6950.930517
01 Oct 2020 00:01:00	-6256.4036	3005.624813	-377.86122	6951.197424
01 Oct 2020 00:02:00	-6181.416765	3070.774626	-826.719741	6951.477222
01 Oct 2020 00:03:00	-6079.608672	3122.079883	-1272.033889	6951.769172
01 Oct 2020 00:04:00	-5951.542481	3159.0934	-1711.895859	6952.072816
01 Oct 2020 00:05:00	-5797.897938	3181.435133	-2144.422619	6952.387962
01 Oct 2020 00:06:00	-5619.467606	3188.794724	-2567.764256	6952.714666
01 Oct 2020 00:07:00	-5417.152544	3180.933674	-2980.112115	6953.05321
01 Oct 2020 00:08:00	-5191.957486	3157.687153	-3379.706708	6953.404067
01 Oct 2020 00:09:00	-4944.985538	3118.965404	-3764.845341	6953.767871
01 Oct 2020 00:10:00	-4677.432445	3064.754777	-4133.889423	6954.145374
01 Oct 2020 00:11:00	-4390.580461	2995.11836	-4485.271422	6954.537404
01 Oct 2020 00:12:00	-4085.791867	2910.196221	-4817.501453	6954.944821
01 Oct 2020 00:13:00	-3764.502176	2810.20526	-5129.173451	6955.368468
01 Oct 2020 00:14:00	-3428.213077	2695.438684	-5418.970932	6955.809123
01 Oct 2020 00:15:00	-3078.48515	2566.265103	-5685.672301	6956.267456
01 Oct 2020 00:16:00	-2716.930396	2423.127254	-5928.155722	6956.743974
01 Oct 2020 00:17:00	-2345.204628	2266.540378	-6145.403511	6957.238989
01 Oct 2020 00:18:00	-1964.999759	2097.090247	-6336.506072	6957.752565
01 Oct 2020 00:19:00	-1578.036015	1915.430857	-6500.665352	6958.28449
01 Oct 2020 00:20:00	-1186.054121	1722.281797	-6637.197829	6958.83424
01 Oct 2020 00:21:00	-790.807485	1518.425322	-6745.537018	6959.400952
01 Oct 2020 00:22:00	-394.054412	1304.703114	-6825.235517	6959.983402
01 Oct 2020 00:23:00	2.449632	1082.012777	-6875.966568	6960.579997
01 Oct 2020 00:24:00	396.959655	851.304052	-6897.525162	6961.188757
01 Oct 2020 00:25:00	787.748684	613.574782	-6889.828679	6961.807325
01 Oct 2020 00:26:00	1173.115165	369.866642	-6852.917063	6962.432966
01 Oct 2020 00:27:00	1551.390211	121.260626	-6786.952542	6963.062583
01 Oct 2020 00:28:00	1920.944675	-131.127658	-6692.218893	6963.692743
01 Oct 2020 00:29:00	2280.196021	-386.15291	-6569.12025	6964.319695
01 Oct 2020 00:30:00	2627.614983	-642.645225	-6418.179467	6964.939415
01 Oct 2020 00:31:00	2961.731973	-899.415356	-6240.036029	6965.547638
01 Oct 2020 00:32:00	3281.143236	-1155.260118	-6035.44351	6966.139909
01 Oct 2020 00:33:00	3584.516718	-1408.967921	-5805.266596	6966.711631
01 Oct 2020 00:34:00	3870.597627	-1659.324406	-5550.477659	6967.258121
01 Oct 2020 00:35:00	4138.213669	-1905.118169	-5272.152898	6967.774666
01 Oct 2020 00:36:00	4386.279933	-2145.146547	-4971.468043	6968.256587
01 Oct 2020 00:37:00	4613.803397	-2378.221425	-4649.693639	6968.699296
01 Oct 2020 00:38:00	4819.887048	-2603.175072	-4308.189917	6969.098361
01 Oct 2020 00:39:00	5003.73357	-2818.865932	-3948.401257	6969.449568
01 Oct 2020 00:40:00	5164.648608	-3024.184382	-3571.850274	6969.748977
01 Oct 2020 00:41:00	5302.043555	-3218.058397	-3180.131524	6969.992985
01 Oct 2020 00:42:00	5415.437871	-3399.459105	-2774.904875	6970.178377
01 Oct 2020 00:43:00	5504.460905	-3567.406194	-2357.888545	6970.302375
01 Oct 2020 00:44:00	5568.853202	-3720.973143	-1930.851858	6970.362689
01 Oct 2020 00:45:00	5608.467288	-3859.292234	-1495.607727	6970.357548
01 Oct 2020 00:46:00	5623.26793	-3981.55933	-1054.004913	6970.285738
01 Oct 2020 00:47:00	5613.331854	-4087.038376	-607.920095	6970.14663
01 Oct 2020 00:48:00	5578.846927	-4175.065596	-159.24978	6969.940191
01 Oct 2020 00:49:00	5520.110804	-4245.053362	290.097886	6969.667002
01 Oct 2020 00:50:00	5437.529045	-4296.493708	738.211389	6969.328257
01 Oct 2020 00:51:00	5331.612718	-4328.961466	1183.184133	6968.92576
01 Oct 2020 00:52:00	5202.975487	-4342.117004	1623.122714	6968.461907
01 Oct 2020 00:53:00	5052.330223	-4335.708554	2056.155123	6967.93967
01 Oct 2020 00:54:00	4880.485145	-4309.574106	2480.438851	6967.362565
01 Oct 2020 00:55:00	4688.339521	-4263.642864	2894.168843	6966.734618
01 Oct 2020 00:56:00	4476.878956	-4197.936264	3295.585267	6966.060316
01 Oct 2020 00:57:00	4247.170299	-4112.568533	3682.981052	6965.344565
01 Oct 2020 00:58:00	4000.356194	-4007.746796	4054.709171	6964.592632
01 Oct 2020 00:59:00	3737.649324	-3883.770748	4409.189627	6963.810082
01 Oct 2020 01:00:00	3460.326366	-3741.031857	4744.916121	6963.002722
01 Oct 2020 01:01:00	3169.7217	-3580.012156	5060.462362	6962.176528
01 Oct 2020 01:02:00	2867.220911	-3401.282582	5354.488019	6961.33758
