                                                                                                                                              10 Nov 2020 22:50:46
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-CSIM


      Epoch (UTCG)         Mean Motion (deg/sec)    Eccentricity    Inclination (deg)    Argument of Perigee (deg)    RAAN (deg)    Mean Anomaly (deg)      BStar 
-----------------------    ---------------------    ------------    -----------------    -------------------------    ----------    ------------------    --------
4 Nov 2020 20:51:45.575                 0.062342        0.001430               97.691                       82.413        19.383               277.872    0.000085
5 Nov 2020 11:18:29.569                 0.062342        0.001431               97.691                       80.628        19.974               279.656    0.000090
5 Nov 2020 16:07:24.219                 0.062342        0.001431               97.691                       80.027        20.171               280.256    0.000092
6 Nov 2020 03:21:31.712                 0.062342        0.001431               97.691                       78.598        20.631               281.685    0.000097
6 Nov 2020 08:10:26.359                 0.062342        0.001431               97.691                       77.991        20.828               282.291    0.000104
6 Nov 2020 17:48:15.607                 0.062342        0.001432               97.691                       76.780        21.222               283.502    0.000107
7 Nov 2020 03:26:04.803                 0.062342        0.001432               97.691                       75.573        21.616               284.707    0.000117
7 Nov 2020 11:27:35.812                 0.062342        0.001432               97.691                       74.582        21.945               285.699    0.000109
7 Nov 2020 19:29:06.791                 0.062342        0.001432               97.691                       73.547        22.273               286.732    0.000111


      Time (UTCG)             x (km)         y (km)         z (km)      Magnitude (km)
-----------------------    -----------    -----------    -----------    --------------
6 Nov 2020 05:02:40.000    6297.660927    2035.904240    2128.029037       6952.261992
6 Nov 2020 05:02:40.100    6297.473612    2035.731232    2128.742528       6952.260085
6 Nov 2020 05:02:40.200    6297.286221    2035.558200    2129.455995       6952.258178
6 Nov 2020 05:02:40.300    6297.098756    2035.385144    2130.169436       6952.256271
6 Nov 2020 05:02:40.400    6296.911217    2035.212064    2130.882851       6952.254364
6 Nov 2020 05:02:40.500    6296.723602    2035.038959    2131.596241       6952.252457
6 Nov 2020 05:02:40.600    6296.535913    2034.865830    2132.309606       6952.250550
6 Nov 2020 05:02:40.700    6296.348149    2034.692677    2133.022946       6952.248643
6 Nov 2020 05:02:40.800    6296.160310    2034.519500    2133.736260       6952.246736
6 Nov 2020 05:02:40.900    6295.972397    2034.346299    2134.449549       6952.244829
6 Nov 2020 05:02:41.000    6295.784408    2034.173074    2135.162812       6952.242922
6 Nov 2020 05:02:41.100    6295.596345    2033.999825    2135.876050       6952.241015
6 Nov 2020 05:02:41.200    6295.408208    2033.826551    2136.589262       6952.239108
6 Nov 2020 05:02:41.300    6295.219995    2033.653253    2137.302449       6952.237201
6 Nov 2020 05:02:41.400    6295.031708    2033.479931    2138.015611       6952.235294
6 Nov 2020 05:02:41.500    6294.843346    2033.306585    2138.728747       6952.233388
6 Nov 2020 05:02:41.600    6294.654910    2033.133215    2139.441858       6952.231481
6 Nov 2020 05:02:41.700    6294.466398    2032.959821    2140.154943       6952.229574
6 Nov 2020 05:02:41.800    6294.277812    2032.786403    2140.868003       6952.227667
6 Nov 2020 05:02:41.900    6294.089151    2032.612960    2141.581037       6952.225761
6 Nov 2020 05:02:42.000    6293.900416    2032.439493    2142.294046       6952.223854
6 Nov 2020 05:02:42.100    6293.711606    2032.266003    2143.007029       6952.221947
6 Nov 2020 05:02:42.200    6293.522721    2032.092488    2143.719987       6952.220041
6 Nov 2020 05:02:42.300    6293.333761    2031.918949    2144.432919       6952.218134
6 Nov 2020 05:02:42.400    6293.144727    2031.745385    2145.145826       6952.216228
6 Nov 2020 05:02:42.500    6292.955618    2031.571798    2145.858707       6952.214321
6 Nov 2020 05:02:42.600    6292.766434    2031.398187    2146.571563       6952.212415
6 Nov 2020 05:02:42.700    6292.577176    2031.224551    2147.284393       6952.210508
