SatNAME,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
CALSPHERE 1             ,00900U,64063C,20303.58544270,.00000244,00000-0,25155-3,0,9992,00900,90.1618,30.5787,0.0026846,17.8267,88.1175,13.73432341
CALSPHERE 2             ,00902U,64063E,20303.32878736,.00000014,00000-0,66938-5,0,9994,00902,90.1738,33.2829,0.0020252,79.7419,352.2937,13.52687675
LCS 1                   ,01361U,65034C,20303.54412066,.00000007,00000-0,-13382-3,0,9993,01361,32.1463,20.1678,0.0007194,274.3768,85.5908,9.89297863 
TEMPSAT 1               ,01512U,65065E,20303.81087624,.00000023,00000-0,29376-4,0,9991,01512,89.8859,224.5218,0.0067925,263.0874,150.5238,13.33430714
CALSPHERE 4A            ,01520U,65065H,20303.79066248,.00000066,00000-0,10819-3,0,9994,01520,90.0220,129.5401,0.0070976,142.0421,230.0103,13.35824836
OPS 5712 (P/L 160)      ,02826U,67053A,20303.46375149,.00000626,00000-0,18031-3,0,9996,02826,69.9278,245.3096,0.0001931,131.4874,228.6425,14.49220665
LES-5                   ,02866U,67066E,20303.55428043,-.00000110,00000-0,00000+0,0,9998,02866,2.5688,270.1521,0.0056645,0.5185,231.6927,1.094259131
SURCAL 159              ,02872U,67053F,20303.57044175,-.00000002,00000-0,35721-4,0,9996,02872,69.9727,105.9216,0.0009627,276.4701,83.5310,13.98830581
OPS 5712 (P/L 153)      ,02874U,67053H,20303.80203095,-.00000014,00000-0,28585-4,0,9995,02874,69.9744,200.9253,0.0008780,326.3257,33.7290,13.96356022
SURCAL 150B             ,02909U,67053J,20303.46268877,.00000861,00000-0,18531-3,0,9993,02909,69.9471,262.6570,0.0004363,222.4425,137.6378,14.61934908
RIGIDSPHERE 2 (LCS 4)   ,05398U,71067E,20303.58093222,.00000183,00000-0,57844-4,0,9999,05398,87.6311,187.3131,0.0062786,188.8492,171.1604,14.33922518
OSCAR 7 (AO-7)          ,07530U,74089B,20303.55647895,-.00000037,00000-0,50158-4,0,9994,07530,101.8195,272.6320,0.0012458,104.9731,5.7752,12.53645865
STARLETTE               ,07646U,75010A,20303.54594080,-.00000140,00000-0,43283-5,0,9990,07646,49.8233,302.2168,0.0205664,109.0995,253.2290,13.82308090
LAGEOS 1                ,08820U,76039A,20303.47131394,-.00000007,00000-0,00000-0,0,9991,08820,109.8127,194.8370,0.0044692,21.7399,127.9409,6.386647987
UOSAT 2 (UO-11)         ,14781U,84021B,20303.74496102,.00000146,00000-0,23943-4,0,9993,14781,97.5906,309.0404,0.0009806,115.8076,244.4151,14.83203782
AJISAI (EGS)            ,16908U,86061A,20303.55595939,-.00000083,00000-0,10228-3,0,9991,16908,50.0115,351.3422,0.0011289,345.7248,181.8166,12.44492518
TDRS 3                  ,19548U,88091B,20303.49181948,-.00000300,00000-0,00000-0,0,9999,19548,14.1050,356.2357,0.0036242,317.9757,212.1597,1.002667371
COSMOS 1989 (ETALON 1)  ,19751U,89001C,20303.28527198,.00000092,00000-0,00000-0,0,9992,19751,64.1984,142.8755,0.0022850,211.0298,327.1317,2.131564222
COSMOS 2024 (ETALON 2)  ,20026U,89039C,20303.45654140,-.00000082,00000-0,00000-0,0,9997,20026,65.5135,20.5877,0.0018340,220.4564,259.5996,2.132044212
FLTSATCOM 8 (USA 46)    ,20253U,89077A,20302.72621196,-.00000082,00000-0,00000-0,0,9995,20253,13.0080,4.4801,0.0001791,175.4462,190.9933,1.002739862
LUSAT (LO-19)           ,20442U,90005G,20303.57726565,-.00000013,00000-0,11661-4,0,9991,20442,98.7076,251.3682,0.0012701,117.5094,242.7382,14.32964642
HST                     ,20580U,90037B,20303.71276087,.00000592,00000-0,24991-4,0,9995,20580,28.4686,151.6203,0.0002834,97.3006,340.3924,15.09460463
SKYNET 4C               ,20776U,90079A,20303.77757597,.00000127,00000-0,00000+0,0,9998,20776,13.9469,4.7715,0.0003597,225.2516,121.9638,1.002810541
TDRS 5                  ,21639U,91054B,20303.66585079,.00000086,00000-0,00000+0,0,9997,21639,14.3185,9.5342,0.0022023,13.1213,87.9841,1.002671031
GEOTAIL                 ,22049U,92044A,20303.02983865,-.00001764,00000-0,00000+0,0,9993,22049,33.8210,45.5521,0.5521791,173.7823,0.1850,0.19221345 
LAGEOS 2                ,22195U,92070B,20303.51332917,-.00000009,00000-0,00000-0,0,9996,22195,52.6408,126.4291,0.0137279,7.9890,2.6036,6.472942386
TDRS 6                  ,22314U,93003B,20303.29975559,-.00000294,00000-0,00000-0,0,9992,22314,14.0642,12.6982,0.0005071,91.0152,356.2829,1.002661541
SCD 1                   ,22490U,93009B,20303.40909692,.00000245,00000-0,17597-4,0,9999,22490,24.9701,287.2380,0.0042968,2.9668,154.8077,14.44588312
UFO 2 (USA 95)          ,22787U,93056A,20303.35257697,.00000127,00000-0,00000+0,0,9990,22787,11.3193,14.5326,0.0009515,232.5638,306.7412,1.00273212 
STELLA                  ,22824U,93061B,20303.59033497,-.00000037,00000-0,39993-5,0,9994,22824,98.9712,297.8281,0.0007446,81.1180,81.4209,14.27382047
EYESAT A (AO-27)        ,22825U,93061C,20303.56592604,.00000009,00000-0,21574-4,0,9995,22825,98.9264,309.4143,0.0008264,354.1045,6.0038,14.30095943
ITAMSAT (IO-26)         ,22826U,93061D,20303.52085673,.00000010,00000-0,21677-4,0,9991,22826,98.9204,309.3001,0.0008581,341.2785,18.8080,14.30432708
USA 99 (MILSTAR-1 1)    ,22988U,94009A,20303.43205160,-.00000188,00000-0,00000-0,0,9998,22988,14.3717,49.5555,0.0001857,168.1476,246.0741,1.00271668 
ASTRA 1D                ,23331U,94070A,20303.45205201,-.00000265,00000-0,00000-0,0,9993,23331,9.2897,41.3969,0.0003102,179.1331,267.5060,1.00272435 
USA 107 (DSP 17)        ,23435U,94084A,20303.38979543,-.00000164,00000-0,00000+0,0,9999,23435,14.5705,10.7353,0.0001835,124.3794,306.7997,1.00269795 
RADIO ROSTO (RS-15)     ,23439U,94085A,20303.57650722,-.00000054,00000-0,-33151-3,0,9996,23439,64.8207,29.3461,0.0152732,17.0919,343.5068,11.27568903
UFO 4 (USA 108)         ,23467U,95003A,20303.54917751,-.00000021,00000-0,00000-0,0,9990,23467,9.8574,20.2822,0.0003144,118.3333,269.6165,1.00271935 
AMSC 1                  ,23553U,95019A,20303.57145972,-.00000095,00000-0,00000-0,0,9995,23553,11.3916,30.2402,0.0000942,273.5133,193.7738,1.00272550 
TDRS 7                  ,23613U,95035B,20303.61724729,-.00000203,00000-0,00000-0,0,9999,23613,14.1682,3.3798,0.0025063,35.1354,307.0844,1.00275479 
USA 113                 ,23628U,95038A,20303.69910399,-.00000333,00000-0,00000+0,0,9999,23628,11.5578,29.0888,0.0002158,198.8949,165.9084,1.00268426 
USA 115 (MILSTAR-1 2)   ,23712U,95060A,20303.62037888,-.00000016,00000-0,00000+0,0,9992,23712,13.2745,18.8487,0.0002957,209.8203,273.0801,1.00272081 
POLAR                   ,23802U,96013A,20302.93067448,.00000074,00000-0,00000-0,0,9993,23802,78.7086,248.1327,0.6199351,278.8760,19.7746,1.298464201
INMARSAT 3-F1           ,23839U,96020A,20303.56630127,.00000057,00000-0,00000-0,0,9992,23839,6.3366,61.5826,0.0005355,145.1763,223.6660,1.00000435 
ASTRA 1F                ,23842U,96021A,20303.78770763,-.00000184,00000-0,00000+0,0,9993,23842,0.1631,83.4555,0.0002834,69.8963,164.2148,0.99124256 
MSAT M1                 ,23846U,96022A,20303.57019213,-.00000084,00000-0,00000-0,0,9991,23846,9.4642,40.7297,0.0002835,186.0339,269.3813,1.00272238 
JAS-2 (FO-29)           ,24278U,96046B,20303.52408896,-.00000058,00000-0,-23168-4,0,9997,24278,98.5892,35.8399,0.0350832,27.8746,334.0712,13.53099711
INMARSAT 3-F2           ,24307U,96053A,20303.51511147,.00000032,00000-0,00000-0,0,9997,24307,5.1939,71.0539,0.0003121,124.3348,96.6569,0.99977464 
AMC-1 (GE-1)            ,24315U,96054A,20303.54539333,.00000069,00000-0,00000-0,0,9997,24315,4.2363,77.7610,0.0003204,135.9830,250.0551,1.00273284 
INMARSAT 3-F3           ,24674U,96070A,20303.55587632,.00000038,00000-0,00000-0,0,9995,24674,5.8782,65.4400,0.0005057,152.1594,198.9792,1.00270939 
AMC-2 (GE-2)            ,24713U,97002A,20303.51480834,-.00000209,00000-0,00000-0,0,9998,24713,6.6277,59.6332,0.0005263,160.0515,279.0953,1.00270693 
INTELSAT 26 (IS-26)     ,24732U,97007A,20303.33660490,.00000007,00000-0,00000+0,0,9996,24732,9.2278,42.1858,0.0003034,196.8702,343.8880,1.00272280 
USA 130 (DSP 18)        ,24737U,97008A,20302.94216109,.00000026,00000-0,00000+0,0,9993,24737,13.6339,18.6502,0.0000562,120.3945,245.4402,1.00266194 
GALAXY 25 (G-25)        ,24812U,97026A,20303.57984057,.00000158,00000-0,00000+0,0,9997,24812,2.2377,89.2237,0.0005458,162.1792,28.5860,1.00271808 
NAVSTAR 43 (USA 132)    ,24876U,97035A,20303.05902092,.00000039,00000-0,00000-0,0,9998,24876,55.4578,178.9402,0.0045204,58.6209,301.9128,2.005618191
INTELSAT 5 (IS-5)       ,24916U,97046A,20303.60478821,.00000094,00000-0,00000-0,0,9995,24916,5.9816,64.7855,0.0003645,163.3023,251.0508,1.00272199 
FORTE                   ,24920U,97047A,20303.48597958,.00000023,00000-0,33380-4,0,9993,24920,69.9543,332.2387,0.0023808,205.6225,154.3719,14.26392439
AMC-3 (GE-3)            ,24936U,97050A,20303.48719597,-.00000257,00000-0,00000-0,0,9998,24936,3.1135,84.6305,0.0003017,130.1033,286.9521,1.00272218 
NSS-5                   ,24957U,97053A,20303.51162204,.00000109,00000-0,00000-0,0,9990,24957,6.2343,63.0093,0.0003702,147.5001,62.4642,1.00270885 
USA 134                 ,25019U,97065A,20303.44046171,-.00000058,00000-0,00000+0,0,9992,25019,10.3731,35.2083,0.0003826,274.7362,134.9019,1.00269910 
NAVSTAR 44 (USA 135)    ,25030U,97067A,20303.44190875,-.00000044,00000-0,00000-0,0,9994,25030,55.8512,242.7650,0.0019780,243.5003,289.8912,1.884383291
ASTRA 1G                ,25071U,97076A,20303.51415187,.00000021,00000-0,00000-0,0,9997,25071,4.9086,72.3795,0.0003758,145.8901,68.3772,1.00273922 
ORBCOMM FM08            ,25112U,97084A,20303.30075671,.00000149,00000-0,93604-4,0,9996,25112,45.0149,148.3567,0.0008841,10.8577,349.2462,14.39138678
ORBCOMM FM10            ,25113U,97084B,20303.28566513,.00000198,00000-0,10906-3,0,9991,25113,45.0161,149.9078,0.0006088,348.8312,11.2401,14.39127234
ORBCOMM FM11            ,25114U,97084C,20303.29369913,.00000154,00000-0,95139-4,0,9992,25114,45.0148,149.2156,0.0006826,346.8144,13.2526,14.39072655
ORBCOMM FM12            ,25115U,97084D,20303.26285940,.00000157,00000-0,96042-4,0,9994,25115,45.0155,149.0752,0.0005827,350.4306,9.6431,14.39090969
ORBCOMM FM09            ,25116U,97084E,20303.26434556,.00000152,00000-0,94408-4,0,9993,25116,45.0157,149.6118,0.0006647,333.3158,26.7348,14.39100060
ORBCOMM FM05            ,25117U,97084F,20303.30990103,.00000136,00000-0,89256-4,0,9991,25117,45.0156,149.6287,0.0003200,16.3528,343.7423,14.39079777
ORBCOMM FM06            ,25118U,97084G,20303.31960957,.00000178,00000-0,10280-3,0,9993,25118,45.0154,149.2367,0.0003224,21.2776,148.4776,14.39127343
ORBCOMM FM07            ,25119U,97084H,20303.31861872,.00000180,00000-0,10336-3,0,9995,25119,45.0148,149.5195,0.0004252,358.4269,1.6566,14.39094534
INMARSAT 3-F5           ,25153U,98006B,20303.41016059,-.00000286,00000-0,00000+0,0,9999,25153,5.0966,69.4974,0.0005098,147.8763,274.4663,1.00274802 
ORBCOMM FM04            ,25159U,98007C,20303.59126936,.00000160,00000-0,11209-3,0,9998,25159,107.9993,278.5814,0.0046791,305.6134,54.0649,14.29859845
CELESTIS-02 & TAURUS R/B,25160U,98007D,20303.52277340,-.00000095,00000-0,15223-4,0,9998,25160,107.9718,147.3853,0.0061335,48.9381,6.7746,14.21549344
UFO 8 (USA 138)         ,25258U,98016A,20303.49077104,-.00000023,00000-0,00000-0,0,9992,25258,8.8041,32.2356,0.0003245,175.7217,178.5290,1.00271574 
NOAA 15                 ,25338U,98030A,20303.80337357,.00000055,00000-0,41601-4,0,9991,25338,98.7075,328.1091,0.0009630,228.0990,131.9369,14.25995939
TECHSAT 1B (GO-32)      ,25397U,98043D,20303.46874656,-.00000011,00000-0,14623-4,0,9997,25397,98.7410,244.0143,0.0002103,56.6623,303.4756,14.23693243
ORBCOMM FM18            ,25414U,98046B,20303.55276342,.00000126,00000-0,96615-4,0,9995,25414,44.9950,233.7356,0.0002579,68.0008,292.1112,14.33050091
ORBCOMM FM19            ,25415U,98046C,20303.55199006,.00000111,00000-0,91044-4,0,9992,25415,44.9956,234.3119,0.0002200,38.1263,131.3590,14.33021970
ORBCOMM FM20            ,25416U,98046D,20303.52984919,.00000090,00000-0,83399-4,0,9995,25416,44.9954,234.6676,0.0002374,323.8620,36.2066,14.33001711
ORBCOMM FM15            ,25418U,98046F,20303.55601014,.00000129,00000-0,97465-4,0,9994,25418,44.9985,236.4334,0.0001052,91.4741,78.2577,14.33061435
ORBCOMM FM14            ,25419U,98046G,20303.56155797,.00000136,00000-0,10001-3,0,9996,25419,44.9980,236.1514,0.0001259,14.1569,155.5381,14.33075661
ORBCOMM FM13            ,25420U,98046H,20303.54992409,.00000087,00000-0,82696-4,0,9990,25420,44.9989,237.6527,0.0002590,81.1403,278.9736,14.32907344
ASTRA 2A                ,25462U,98050A,20303.50708576,.00000151,00000-0,00000-0,0,9994,25462,1.9416,91.7172,0.0002358,114.1546,43.0186,1.00267928 
ORBCOMM FM21            ,25475U,98053A,20303.47040459,.00000094,00000-0,85119-4,0,9990,25475,45.0105,321.6391,0.0002137,257.5511,102.5096,14.32998185
ORBCOMM FM23            ,25477U,98053C,20303.49667370,.00000088,00000-0,82931-4,0,9993,25477,45.0106,323.1463,0.0001270,271.8804,88.1897,14.32860594
ORBCOMM FM27            ,25481U,98053G,20303.51268802,.00000137,00000-0,10046-3,0,9990,25481,45.0079,322.2394,0.0003186,249.6859,110.3645,14.32969650
SCD 2                   ,25504U,98060A,20303.29211348,.00000238,00000-0,16340-4,0,9998,25504,24.9944,138.8561,0.0017270,18.4133,142.8754,14.44104571
ISS (ZARYA)             ,25544U,98067A,20303.79888350,.00001974,00000-0,43462-4,0,9990,25544,51.6464,42.3967,0.0001786,72.7935,70.0972,15.49353340
SWAS                    ,25560U,98071A,20303.57172971,.00000292,00000-0,35949-4,0,9997,25560,69.9003,46.1887,0.0006153,161.4433,198.6948,14.93927573
GLOBALSTAR M023         ,25621U,99004A,20303.81319269,-.00000236,00000-0,-73468-3,0,9999,25621,52.0096,163.0379,0.0009970,0.2280,78.9650,12.62395014
JCSAT-4A                ,25630U,99006A,20303.53010334,-.00000305,00000-0,00000-0,0,9996,25630,4.8934,73.1135,0.0011176,185.1757,106.9111,1.00273334 
SKYNET 4E               ,25639U,99009B,20302.99873707,-.00000033,00000-0,00000+0,0,9995,25639,10.9465,20.2436,0.0002927,201.2716,174.5831,1.00270821 
GLOBALSTAR M037         ,25652U,99012D,20303.73808433,-.00000075,00000-0,16208-3,0,9998,25652,52.0003,294.5307,0.0002317,44.8808,126.2936,12.62334891
ASIASAT 3S              ,25657U,99013A,20303.74627053,-.00000221,00000-0,00000+0,0,9994,25657,5.0806,71.5946,0.0002112,129.3951,253.7162,1.00271131 
LANDSAT 7               ,25682U,99020A,20303.86226643,.00000014,00000-0,12856-4,0,9999,25682,98.0671,2.4683,0.0001622,104.0498,256.0871,14.57182608
NIMIQ 1                 ,25740U,99027A,20303.51319981,-.00000197,00000-0,00000-0,0,9998,25740,1.4121,92.8980,0.0005379,126.2449,277.4212,1.00271547 
DLR-TUBSAT              ,25757U,99029B,20303.79507031,-.00000009,00000-0,91641-5,0,9991,25757,98.4315,231.6609,0.0015155,134.1417,226.1026,14.51427270
CXO                     ,25867U,99040B,20304.03504416,.00000789,00000-0,00000+0,0,9995,25867,60.0926,263.2852,0.7949128,226.8125,0.3787,0.37802827 
ABS-7                   ,25894U,99046A,20303.84399078,-.00000306,00000-0,00000+0,0,9991,25894,1.2912,93.5702,0.0005074,126.2706,226.6075,1.00144007 
ABS-6                   ,25924U,99053A,20303.74862591,-.00000118,00000-0,00000+0,0,9998,25924,0.0547,77.0798,0.0001968,165.8383,224.1355,1.00272125 
NAVSTAR 46 (USA 145)    ,25933U,99055A,20303.23791402,-.00000107,00000-0,00000-0,0,9995,25933,52.3536,24.2496,0.0155345,118.4604,310.7053,2.005574971
TELSTAR 12 (ORION 2)    ,25949U,99059A,20303.56750400,-.00000060,00000-0,00000-0,0,9993,25949,3.6201,82.6976,0.0004936,144.5839,266.2026,1.00272449 
AMC-4 (GE-4)            ,25954U,99060A,20303.69001962,.00000089,00000-0,00000+0,0,9996,25954,0.0525,82.6730,0.0002776,134.8730,294.4627,1.00273503 
UFO 10 (USA 146)        ,25967U,99063A,20303.08382957,-.00000183,00000-0,00000+0,0,9998,25967,8.0152,35.2391,0.0002267,140.6452,229.6889,1.00269892 
ORBCOMM FM30            ,25980U,99065A,20303.50636985,.00000104,00000-0,88635-4,0,9992,25980,45.0315,137.5466,0.0005246,213.4075,146.6441,14.32926570
ORBCOMM FM31            ,25981U,99065B,20303.49379655,.00000134,00000-0,99472-4,0,9993,25981,45.0228,132.4582,0.0002549,240.7154,119.3437,14.32938169
ORBCOMM FM32            ,25982U,99065C,20303.52119700,.00000089,00000-0,84304-4,0,9998,25982,45.0165,137.4205,0.0005033,248.7713,111.2596,14.32135070
ORBCOMM FM33            ,25983U,99065D,20303.56341123,.00000079,00000-0,76531-4,0,9991,25983,45.0309,77.7014,0.0009301,227.8535,227.4175,14.35176571
ORBCOMM FM36            ,25984U,99065E,20303.28758064,-.00000060,00000-0,29186-4,0,9992,25984,45.0368,141.9369,0.0003483,116.4669,243.6535,14.32916662
ORBCOMM FM35            ,25985U,99065F,20303.29739193,.00000087,00000-0,82574-4,0,9994,25985,45.0393,143.2345,0.0002207,258.4431,101.6169,14.32970891
XMM-NEWTON              ,25989U,99066A,20305.16693554,-.00000228,00000-0,00000+0,0,9994,25989,71.0565,317.4845,0.6926499,92.2172,359.7836,0.50137596 
DMSP 5D-3 F15 (USA 147) ,25991U,99067A,20303.73126116,-.00000045,00000-0,17101-6,0,9998,25991,98.9877,276.2291,0.0010822,79.7263,24.1784,14.16469544
TERRA                   ,25994U,99068A,20303.79075743,.00000065,00000-0,24568-4,0,9991,25994,98.2024,16.1309,0.0001345,90.0411,57.5320,14.57111328
CELESTIS-03 & TAURUS R/B,26034U,99070C,20303.58964800,.00003306,00000-0,20464-3,0,9999,26034,98.2573,246.8198,0.0012322,353.4907,6.6158,15.10552710
GALAXY 11 (G-11)        ,26038U,99071A,20303.34702248,-.00000161,00000-0,00000-0,0,9992,26038,1.5389,95.2900,0.0000661,159.9502,174.7547,1.00271776 
USA 148                 ,26052U,00001A,20303.52837466,.00000045,00000-0,00000-0,0,9994,26052,8.6156,45.8482,0.0000870,134.3526,228.5921,1.00273815 
GLOBALSTAR M063         ,26081U,00008A,20303.56507455,-.00000083,00000-0,-10796-5,0,9991,26081,51.9949,246.4634,0.0004639,322.1964,208.7961,11.86124919
MTI                     ,26102U,00014A,20303.61709659,.00007959,00000-0,11170-3,0,9990,26102,97.4840,192.4190,0.0009191,89.9059,270.3250,15.56980885
ASIASTAR                ,26107U,00016A,20303.45073133,-.00000331,00000-0,00000-0,0,9995,26107,4.3119,76.2568,0.0004548,141.6808,87.6120,1.00272434 
IMAGE                   ,26113U,00017A,20303.20528641,-.00000049,00000-0,56030-3,0,9998,26113,94.9178,278.6408,0.7676076,166.3604,242.8881,1.686443271
USA 149 (DSP 20)        ,26356U,00024A,20303.63713206,.00000102,00000-0,00000+0,0,9996,26356,11.6456,25.4838,0.0000248,145.3014,292.2423,1.00256922 
NAVSTAR 47 (USA 150)    ,26360U,00025A,20303.60001227,.00000024,00000-0,00000-0,0,9996,26360,53.6146,103.5887,0.0056977,159.2452,212.0512,2.005644721
EUTELSAT 80A            ,26369U,00028A,20303.51118586,.00000124,00000-0,00000-0,0,9996,26369,3.6961,80.1745,0.0004767,134.4817,55.9418,1.00272822 
TDRS 8                  ,26388U,00034A,20303.30388845,-.00000224,00000-0,00000+0,0,9999,26388,9.4376,46.6109,0.0013364,318.4177,231.3308,1.00263658 
NAVSTAR 48 (USA 151)    ,26407U,00040A,20303.36287417,-.00000041,00000-0,00000-0,0,9995,26407,55.8970,296.8832,0.0186283,280.6675,240.8981,2.005646681
CLUSTER II-FM7 (SAMBA)  ,26410U,00041A,20305.05388059,.00000435,00000-0,00000+0,0,9997,26410,132.1592,342.6806,0.4562448,186.6740,1.0021,0.44225979 
CLUSTER II-FM6 (SALSA)  ,26411U,00041B,20305.13258470,.00000380,00000-0,00000-0,0,9990,26411,132.3612,344.1164,0.5927435,192.1522,1.0588,0.44251649 
INTELSAT 9 (IS-9)       ,26451U,00043A,20303.41389244,-.00000283,00000-0,00000-0,0,9992,26451,5.9699,64.9837,0.0002780,160.6195,271.6264,1.00271169 
CLUSTER II-FM5 (RUMBA)  ,26463U,00045A,20305.11955252,.00000441,00000-0,00000+0,0,9998,26463,136.0052,343.8814,0.5519662,192.0416,1.0326,0.44218846 
CLUSTER II-FM8 (TANGO)  ,26464U,00045B,20305.05214619,.00000436,00000-0,00000+0,0,9991,26464,132.1627,342.6788,0.4561465,186.6642,1.0126,0.44220854 
BRASILSAT B4            ,26469U,00046A,20303.50838990,-.00000168,00000-0,00000+0,0,9992,26469,4.2844,77.4714,0.0002927,138.2127,273.6743,1.00271555 
ASTRA 2B                ,26494U,00054A,20303.50542829,.00000121,00000-0,00000-0,0,9991,26494,4.8093,72.9934,0.0004953,146.5825,20.2922,1.00270228 
NSS-11 (AAP-1)          ,26554U,00059A,20303.60845396,.00000025,00000-0,00000+0,0,9991,26554,0.0168,95.0001,0.0003313,149.7916,188.6298,1.00269368 
USA 153                 ,26575U,00065A,20303.68799565,-.00000320,00000-0,00000+0,0,9994,26575,8.1133,49.1338,0.0001045,180.0333,191.4000,1.00269971 
AMC-6 (GE-6)            ,26580U,00067A,20303.37903681,.00000104,00000-0,00000+0,0,9993,26580,0.0223,94.8193,0.0002990,142.6862,158.1141,1.00270237 
INTELSAT 12 (IS-12)     ,26590U,00068A,20303.51432635,.00000015,00000-0,00000-0,0,9999,26590,3.2428,85.0187,0.0005182,159.1884,43.5103,1.00272858 
INTELSAT 1R (IS-1R)     ,26608U,00072A,20303.59719568,-.00000135,00000-0,00000-0,0,9999,26608,3.0023,85.5660,0.0001030,342.7253,342.2042,1.00271736 
ANIK F1                 ,26624U,00076A,20303.56953823,-.00000073,00000-0,00000-0,0,9993,26624,0.0338,124.6604,0.0003416,45.5406,325.9113,1.00271658 
ASTRA 2D                ,26638U,00081A,20303.44111062,.00000067,00000-0,00000-0,0,9994,26638,6.0602,63.9467,0.0002037,152.7749,37.5498,1.00270805 
AMC-8 (GE-8)            ,26639U,00081B,20303.68993240,.00000090,00000-0,00000+0,0,9992,26639,0.9775,94.4278,0.0002904,135.5478,281.8980,1.00271761 
NAVSTAR 50 (USA 156)    ,26690U,01004A,20302.18799296,.00000043,00000-0,00000-0,0,9993,26690,53.5187,109.0584,0.0000116,2.7877,356.3709,1.915955471
ODIN                    ,26702U,01007A,20303.54664685,.00000106,00000-0,10881-4,0,9996,26702,97.5504,318.2471,0.0011510,161.1652,199.0005,15.08149991
USA 157 (MILSTAR-2 2)   ,26715U,01009A,20303.65117642,-.00000208,00000-0,00000+0,0,9991,26715,9.4544,29.9148,0.0003258,214.7903,175.5500,1.00401586 
