SatNAME,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
CALSPHERE 1             ,00900U,64063C,20302.86434574,.00000221,00000-0,22732-3,0,9990,00900,90.1617,30.5666,0.0026924,20.0267,122.7273,13.73431919
CALSPHERE 2             ,00902U,64063E,20302.50263492,.00000007,00000-0,-31394-5,0,9991,00902,90.1738,33.2684,0.0020271,81.9164,289.4239,13.52687641
LCS 1                   ,01361U,65034C,20302.53432976,.00000008,00000-0,-27972-4,0,9995,01361,32.1463,22.5649,0.0007170,270.7671,89.2005,9.89297871 
TEMPSAT 1               ,01512U,65065E,20302.56033646,.00000022,00000-0,26673-4,0,9993,01512,89.8857,224.5356,0.0067916,266.6958,267.3984,13.33430620
CALSPHERE 4A            ,01520U,65065H,20302.59678765,.00000059,00000-0,95965-4,0,9992,01520,90.0220,129.5374,0.0070886,145.3602,248.7523,13.35824731
OPS 5712 (P/L 160)      ,02826U,67053A,20302.56647540,.00000663,00000-0,19002-3,0,9993,02826,69.9278,247.4099,0.0001967,134.9944,225.1349,14.49219567
LES-5                   ,02866U,67066E,20302.47052337,-.00000104,00000-0,00000-0,0,9991,02866,2.5713,270.1823,0.0056626,0.4463,164.7952,1.094257611
SURCAL 159              ,02872U,67053F,20302.85537404,.00000001,00000-0,38161-4,0,9997,02872,69.9726,107.4595,0.0009613,277.1308,82.8706,13.98830504
OPS 5712 (P/L 153)      ,02874U,67053H,20302.79916281,-.00000011,00000-0,30587-4,0,9992,02874,69.9745,203.0730,0.0008726,327.4384,32.6182,13.96355965
SURCAL 150B             ,02909U,67053J,20302.84689744,.00000873,00000-0,18772-3,0,9994,02909,69.9470,264.1268,0.0004416,222.9230,137.1565,14.61933830
RIGIDSPHERE 2 (LCS 4)   ,05398U,71067E,20302.60395711,.00000180,00000-0,56937-4,0,9998,05398,87.6312,187.5814,0.0062660,192.1023,167.8673,14.33922234
OSCAR 7 (AO-7)          ,07530U,74089B,20302.82675656,-.00000032,00000-0,84530-4,0,9995,07530,101.8193,271.9053,0.0012452,106.3500,312.4728,12.53645846
STARLETTE               ,07646U,75010A,20302.75070432,-.00000137,00000-0,63444-5,0,9999,07646,49.8233,305.3558,0.0205660,106.4717,255.8882,13.82308074
LAGEOS 1                ,08820U,76039A,20301.86045505,-.00000014,00000-0,00000+0,0,9997,08820,109.8128,194.2854,0.0044691,22.0851,24.2662,6.386647847
UOSAT 2 (UO-11)         ,14781U,84021B,20302.73301324,.00000177,00000-0,27753-4,0,9999,14781,97.5907,308.0789,0.0009773,118.6631,241.5567,14.83203507
AJISAI (EGS)            ,16908U,86061A,20302.58009237,-.00000083,00000-0,10221-3,0,9997,16908,50.0116,354.3427,0.0011282,343.2523,129.7535,12.44492503
TDRS 3                  ,19548U,88091B,20302.48683650,-.00000302,00000-0,00000-0,0,9996,19548,14.1054,356.2447,0.0036116,318.0332,209.3298,1.002670681
COSMOS 1989 (ETALON 1)  ,19751U,89001C,20302.34689021,.00000091,00000-0,00000+0,0,9990,19751,64.1982,142.9077,0.0022848,211.0273,327.0549,2.131564202
COSMOS 2024 (ETALON 2)  ,20026U,89039C,20302.11122294,-.00000090,00000-0,00000+0,0,9997,20026,65.5133,20.6333,0.0018337,220.4478,307.0367,2.132044002
FLTSATCOM 8 (USA 46)    ,20253U,89077A,20301.77585060,-.00000084,00000-0,00000-0,0,9990,20253,13.0081,4.4870,0.0001822,174.7689,208.5927,1.002739322
LUSAT (LO-19)           ,20442U,90005G,20302.46006144,-.00000034,00000-0,39123-5,0,9999,20442,98.7074,250.2453,0.0012668,120.5361,239.7074,14.32964485
HST                     ,20580U,90037B,20302.33992741,.00000578,00000-0,24150-4,0,9995,20580,28.4686,160.7017,0.0002833,83.3905,79.4619,15.09459295
SKYNET 4C               ,20776U,90079A,20301.85710213,.00000122,00000-0,00000-0,0,9995,20776,13.9472,4.7881,0.0003472,221.2584,152.6229,1.002800191
TDRS 5                  ,21639U,91054B,20302.59774872,.00000083,00000-0,00000-0,0,9997,21639,14.3185,9.5438,0.0022027,13.4621,62.0868,1.002666281
GEOTAIL                 ,22049U,92044A,20303.02983865,-.00001764,00000-0,00000+0,0,9993,22049,33.8210,45.5521,0.5521791,173.7823,0.1850,0.19221345 
LAGEOS 2                ,22195U,92070B,20302.03248887,-.00000009,00000-0,00000+0,0,9993,22195,52.6406,127.3654,0.0137279,7.3406,151.8617,6.472942596
TDRS 6                  ,22314U,93003B,20302.05668479,-.00000297,00000-0,00000+0,0,9997,22314,14.0640,12.7084,0.0005098,91.3032,267.2829,1.002666111
SCD 1                   ,22490U,93009B,20302.37016170,.00000248,00000-0,18436-4,0,9990,22490,24.9702,293.6369,0.0042923,351.9958,151.8086,14.44588192
UFO 2 (USA 95)          ,22787U,93056A,20301.87688135,.00000123,00000-0,00000-0,0,9997,22787,11.3188,14.5410,0.0009479,232.1185,134.4716,1.00272505 
STELLA                  ,22824U,93061B,20302.81218931,-.00000043,00000-0,15863-5,0,9993,22824,98.9717,297.0298,0.0007409,83.0100,43.2201,14.27381984
EYESAT A (AO-27)        ,22825U,93061C,20302.79631263,.00000009,00000-0,21741-4,0,9990,22825,98.9265,308.6252,0.0008305,356.3553,3.7566,14.30095844
ITAMSAT (IO-26)         ,22826U,93061D,20302.75142430,.00000016,00000-0,24178-4,0,9995,22826,98.9205,308.5113,0.0008618,343.6117,16.4785,14.30432632
USA 99 (MILSTAR-1 1)    ,22988U,94009A,20302.28799199,-.00000191,00000-0,00000+0,0,9993,22988,14.3699,49.5683,0.0001817,164.5152,196.7080,1.00271824 
ASTRA 1D                ,23331U,94070A,20302.22341000,-.00000269,00000-0,00000+0,0,9998,23331,9.2879,41.4035,0.0003104,177.7131,185.3962,1.00272858 
USA 107 (DSP 17)        ,23435U,94084A,20302.19024300,-.00000167,00000-0,00000-0,0,9993,23435,14.5704,10.7461,0.0001924,122.7349,235.4247,1.00269862 
